,index,S,block,trial_count,trial_type,trial_code,trial_num,cor_resp,resp,RT
158,641,S2,K-A,15.0,per_K,per_10,38.0,1.0,left,0.0211109830997884
159,642,S2,K-A,16.0,per_K,per_3,31.0,1.0,left,0.0632551376475021
160,643,S2,K-A,17.0,mem_K,mem_12,52.0,1.0,left,0.0479634415823966
161,644,S2,K-A,18.0,per_K,per_5,33.0,1.0,left,0.2887758163269609
162,645,S2,K-A,19.0,mem_K,mem_10,50.0,1.0,left,0.0404666062677279
163,646,S2,K-A,20.0,mem_K,mem_2,42.0,0.0,right,0.000903308391571
164,647,S2,K-A,21.0,per_K,per_8,36.0,1.0,left,0.0525518807116895
165,648,S2,K-A,22.0,per_K,per_4,32.0,1.0,left,0.1257773132529109
166,649,S2,K-A,23.0,per_K,per_9,37.0,1.0,left,0.1325337361777201
167,650,S2,K-A,24.0,per_K,per_11,39.0,1.0,left,0.2265741225564852
168,651,S2,K-A,25.0,mem_K,mem_4,44.0,0.0,right,0.0355249635176733
169,652,S2,K-A,26.0,per_K,per_8,36.0,1.0,left,0.4926885169697925
170,653,S2,K-A,27.0,mem_K,mem_6,46.0,0.0,right,0.3155192018020898
171,654,S2,K-A,28.0,mem_K,mem_7,47.0,0.0,right,0.0742432674160227
172,655,S2,K-A,29.0,mem_K,mem_9,49.0,0.0,right,0.2516384274931624
173,656,S2,K-A,30.0,per_K,per_10,38.0,1.0,left,0.3708974248729646
174,657,S2,K-A,31.0,mem_K,mem_3,43.0,0.0,left,0.0396540133515372
175,658,S2,K-A,32.0,mem_K,mem_12,52.0,1.0,left,0.2655683167977258
176,659,S2,K-A,33.0,per_K,per_12,40.0,1.0,left,0.2506307866424322
177,660,S2,K-A,34.0,mem_K,mem_1,41.0,0.0,right,0.0340912967221811
178,661,S2,K-A,35.0,per_K,per_9,37.0,1.0,left,0.3480229183332994
179,662,S2,K-A,36.0,mem_K,mem_2,42.0,0.0,right,0.2970971142640337
180,663,S2,K-A,37.0,per_K,per_3,31.0,1.0,left,0.4010021798312664
181,664,S2,K-A,38.0,per_K,per_4,32.0,1.0,left,0.3784192827297374
182,665,S2,K-A,39.0,per_K,per_6,34.0,1.0,left,0.3983680699020624
183,666,S2,K-A,40.0,mem_K,mem_5,45.0,0.0,right,0.0418646638281643
184,667,S2,K-A,41.0,mem_K,mem_8,48.0,0.0,right,0.2429584723431617
185,668,S2,K-A,42.0,per_K,per_7,35.0,1.0,left,0.197310832911171
186,669,S2,K-A,43.0,per_K,per_11,39.0,1.0,left,0.1846118631074205
187,670,S2,K-A,44.0,per_K,per_2,30.0,1.0,left,0.2347539465408772
188,671,S2,K-A,45.0,per_K,per_5,33.0,1.0,left,0.1255890020402148
189,672,S2,K-A,46.0,per_K,per_1,29.0,1.0,left,0.0263772781472653
190,673,S2,K-A,47.0,mem_K,mem_11,51.0,1.0,left,0.0441561565967276
191,674,S2,K-A,48.0,mem_K,mem_10,50.0,1.0,left,0.4537588042439893
192,675,S2,K-A,49.0,mem_K,mem_1,41.0,0.0,right,0.694975710939616
193,676,S2,K-A,50.0,mem_K,mem_3,43.0,0.0,right,0.2695741783827543
194,677,S2,K-A,51.0,per_K,per_11,39.0,1.0,left,0.5816464283270761
195,678,S2,K-A,52.0,per_K,per_7,35.0,1.0,left,0.1466753551503643
196,679,S2,K-A,53.0,per_K,per_12,40.0,1.0,left,0.0244383473182097
197,680,S2,K-A,54.0,per_K,per_9,37.0,1.0,left,0.0103538313414901
198,681,S2,K-A,55.0,mem_K,mem_2,42.0,0.0,right,0.4837759799556806
199,682,S2,K-A,56.0,per_K,per_2,30.0,1.0,left,0.0117056933231651
200,683,S2,K-A,57.0,per_K,per_5,33.0,1.0,left,0.0552671536570414
201,684,S2,K-A,58.0,mem_K,mem_5,45.0,0.0,right,0.1996273483382538
202,685,S2,K-A,59.0,per_K,per_4,32.0,1.0,left,0.5716004958376288
203,686,S2,K-A,60.0,per_K,per_10,38.0,1.0,left,0.1347193639958277
204,687,S2,K-A,61.0,mem_K,mem_10,50.0,1.0,left,0.3252247628988698
205,688,S2,K-A,62.0,per_K,per_8,36.0,1.0,left,0.4987603472545743
206,689,S2,K-A,63.0,per_K,per_1,29.0,1.0,left,0.1466535405488684
207,690,S2,K-A,64.0,mem_K,mem_11,51.0,1.0,left,0.3829493359662592
208,691,S2,K-A,65.0,per_K,per_3,31.0,1.0,left,0.339062581770122
209,692,S2,K-A,66.0,mem_K,mem_9,49.0,0.0,right,0.0019321221625432
210,693,S2,K-A,67.0,mem_K,mem_7,47.0,0.0,right,0.1802826323546469
211,694,S2,K-A,68.0,mem_K,mem_4,44.0,0.0,right,0.2477069919696077
212,695,S2,K-A,69.0,per_K,per_6,34.0,1.0,left,0.1923380722291767
213,696,S2,K-A,70.0,mem_K,mem_8,48.0,0.0,right,0.1635409087175503
214,697,S2,K-A,71.0,mem_K,mem_12,52.0,1.0,left,0.4254999472759664
215,698,S2,K-A,72.0,mem_K,mem_6,46.0,0.0,right,0.0110535017447546
216,700,S2,T-M,1.0,mem_K,mem_6,15.0,1.0,left,0.0833142851479351
